Date,Balance,Account
2024-01-03,10176.75,Vanguard Trust 
2024-01-04,10176.75,Vanguard Trust 
2024-01-05,10176.75,Vanguard Trust 
2024-01-06,10176.75,Vanguard Trust 
2024-01-07,10176.75,Vanguard Trust 
2024-01-08,10176.75,Vanguard Trust 
2024-01-09,10176.75,Vanguard Trust 
2024-01-10,10176.75,Vanguard Trust 
2024-01-11,10176.75,Vanguard Trust 
2024-01-12,10176.75,Vanguard Trust 
2024-01-13,10176.75,Vanguard Trust 
2024-01-14,10176.75,Vanguard Trust 
2024-01-15,10176.75,Vanguard Trust 
2024-01-16,10176.75,Vanguard Trust 
2024-01-17,10176.75,Vanguard Trust 
2024-01-18,10176.75,Vanguard Trust 
2024-01-19,10176.75,Vanguard Trust 
2024-01-20,10176.75,Vanguard Trust 
2024-01-21,10176.75,Vanguard Trust 
2024-01-22,10176.75,Vanguard Trust 
2024-01-23,10176.75,Vanguard Trust 
2024-01-24,10176.75,Vanguard Trust 
2024-01-25,10176.75,Vanguard Trust 
2024-01-26,10176.75,Vanguard Trust 
2024-01-27,10176.75,Vanguard Trust 
2024-01-28,10176.75,Vanguard Trust 
2024-01-29,10176.75,Vanguard Trust 
2024-01-30,10176.75,Vanguard Trust 
2024-01-31,10176.75,Vanguard Trust 
2024-02-01,10176.75,Vanguard Trust 
2024-02-02,10222.39,Vanguard Trust 
2024-02-03,10222.39,Vanguard Trust 
2024-02-04,10222.39,Vanguard Trust 
2024-02-05,10222.39,Vanguard Trust 
2024-02-06,10222.39,Vanguard Trust 
2024-02-07,10222.39,Vanguard Trust 
2024-02-08,10222.39,Vanguard Trust 
2024-02-09,10222.39,Vanguard Trust 
2024-02-10,10222.39,Vanguard Trust 
2024-02-11,10222.39,Vanguard Trust 
2024-02-12,10222.39,Vanguard Trust 
2024-02-13,10222.39,Vanguard Trust 
2024-02-14,10222.39,Vanguard Trust 
2024-02-15,10222.39,Vanguard Trust 
2024-02-16,10222.39,Vanguard Trust 
2024-02-17,10222.39,Vanguard Trust 
2024-02-18,10222.39,Vanguard Trust 
2024-02-19,10222.39,Vanguard Trust 
2024-02-20,10222.39,Vanguard Trust 
2024-02-21,10222.39,Vanguard Trust 
2024-02-22,10222.39,Vanguard Trust 
2024-02-23,10222.39,Vanguard Trust 
2024-02-24,10222.39,Vanguard Trust 
2024-02-25,10222.39,Vanguard Trust 
2024-02-26,10222.39,Vanguard Trust 
2024-02-27,10222.39,Vanguard Trust 
2024-02-28,10222.39,Vanguard Trust 
2024-02-29,10222.39,Vanguard Trust 
2024-03-01,10265.34,Vanguard Trust 
2024-03-02,10265.34,Vanguard Trust 
2024-03-03,10265.34,Vanguard Trust 
2024-03-04,10265.34,Vanguard Trust 
2024-03-05,10265.34,Vanguard Trust 
2024-03-06,10265.34,Vanguard Trust 
2024-03-07,10265.34,Vanguard Trust 
2024-03-08,10265.34,Vanguard Trust 
2024-03-09,10265.34,Vanguard Trust 
2024-03-10,10265.34,Vanguard Trust 
2024-03-11,10265.34,Vanguard Trust 
2024-03-12,10265.34,Vanguard Trust 
2024-03-13,10265.34,Vanguard Trust 
2024-03-14,10265.34,Vanguard Trust 
2024-03-15,10265.34,Vanguard Trust 
2024-03-16,10265.34,Vanguard Trust 
2024-03-17,10265.34,Vanguard Trust 
2024-03-18,10265.34,Vanguard Trust 
2024-03-19,10265.34,Vanguard Trust 
2024-03-20,10265.34,Vanguard Trust 
2024-03-21,10265.34,Vanguard Trust 
2024-03-22,10265.34,Vanguard Trust 
2024-03-23,10265.34,Vanguard Trust 
2024-03-24,10265.34,Vanguard Trust 
2024-03-25,10265.34,Vanguard Trust 
2024-03-26,10265.34,Vanguard Trust 
2024-03-27,10265.34,Vanguard Trust 
2024-03-28,10265.34,Vanguard Trust 
2024-03-29,10265.74,Vanguard Trust 
2024-03-30,10265.74,Vanguard Trust 
2024-03-31,10265.74,Vanguard Trust 
2024-04-01,10265.74,Vanguard Trust 
2024-04-02,10311.42,Vanguard Trust 
2024-04-03,10311.42,Vanguard Trust 
2024-04-04,10311.42,Vanguard Trust 
2024-04-05,10311.42,Vanguard Trust 
2024-04-06,10311.42,Vanguard Trust 
2024-04-07,10311.42,Vanguard Trust 
2024-04-08,10311.42,Vanguard Trust 
2024-04-09,10311.42,Vanguard Trust 
2024-04-10,10311.42,Vanguard Trust 
2024-04-11,10311.42,Vanguard Trust 
2024-04-12,10311.42,Vanguard Trust 
2024-04-13,10311.42,Vanguard Trust 
2024-04-14,10311.42,Vanguard Trust 
2024-04-15,10311.42,Vanguard Trust 
2024-04-16,10311.42,Vanguard Trust 
2024-04-17,10311.42,Vanguard Trust 
2024-04-18,10311.42,Vanguard Trust 
2024-04-19,10311.42,Vanguard Trust 
2024-04-20,10311.42,Vanguard Trust 
2024-04-21,10311.42,Vanguard Trust 
2024-04-22,10311.42,Vanguard Trust 
2024-04-23,10311.42,Vanguard Trust 
2024-04-24,10311.42,Vanguard Trust 
2024-04-25,10311.42,Vanguard Trust 
2024-04-26,10311.42,Vanguard Trust 
2024-04-27,10311.42,Vanguard Trust 
2024-04-28,10311.42,Vanguard Trust 
2024-04-29,10311.42,Vanguard Trust 
2024-04-30,10311.42,Vanguard Trust 
2024-05-01,10356.17,Vanguard Trust 
2024-05-02,10356.17,Vanguard Trust 
2024-05-03,10356.17,Vanguard Trust 
2024-05-04,10356.17,Vanguard Trust 
2024-05-05,10356.17,Vanguard Trust 
2024-05-06,10356.17,Vanguard Trust 
2024-05-07,10356.17,Vanguard Trust 
2024-05-08,10356.17,Vanguard Trust 
2024-05-09,10356.17,Vanguard Trust 
2024-05-10,10356.17,Vanguard Trust 
2024-05-11,10356.17,Vanguard Trust 
2024-05-12,10356.17,Vanguard Trust 
2024-05-13,10356.17,Vanguard Trust 
2024-05-14,10356.17,Vanguard Trust 
2024-05-15,10356.17,Vanguard Trust 
2024-05-16,10356.17,Vanguard Trust 
2024-05-17,10356.17,Vanguard Trust 
2024-05-18,10356.17,Vanguard Trust 
2024-05-19,10356.17,Vanguard Trust 
2024-05-20,10356.17,Vanguard Trust 
2024-05-21,10356.17,Vanguard Trust 
2024-05-22,10356.17,Vanguard Trust 
2024-05-23,10356.17,Vanguard Trust 
2024-05-24,10356.17,Vanguard Trust 
2024-05-25,10356.17,Vanguard Trust 
2024-05-26,10356.17,Vanguard Trust 
2024-05-27,10356.17,Vanguard Trust 
2024-05-28,10356.17,Vanguard Trust 
2024-05-29,10356.17,Vanguard Trust 
2024-05-30,10356.17,Vanguard Trust 
2024-05-31,10356.17,Vanguard Trust 
2024-06-01,10356.17,Vanguard Trust 
2024-06-02,10356.97,Vanguard Trust 
2024-06-03,10402.60,Vanguard Trust 
2024-06-04,10402.60,Vanguard Trust 
2024-06-05,10402.60,Vanguard Trust 
2024-06-06,10402.60,Vanguard Trust 
2024-06-07,10402.60,Vanguard Trust 
2024-06-08,10402.60,Vanguard Trust 
2024-06-09,10402.60,Vanguard Trust 
2024-06-10,10402.60,Vanguard Trust 
2024-06-11,10402.60,Vanguard Trust 
2024-06-12,10402.60,Vanguard Trust 
2024-06-13,10402.60,Vanguard Trust 
2024-06-14,10402.60,Vanguard Trust 
2024-06-15,10402.60,Vanguard Trust 
2024-06-16,10402.60,Vanguard Trust 
2024-06-17,10402.60,Vanguard Trust 
2024-06-18,10402.60,Vanguard Trust 
2024-06-19,10402.60,Vanguard Trust 
2024-06-20,10402.60,Vanguard Trust 
